text,label
sound,1
wave,1
medium,1
fig,1
waves,1
called,1
e,1
pr,1
speed,1
frequency,1
one,1
time,1
hearing,1
hear,1
vibrating,1
distance,1
ultrasound,1
particles,1
used,1
shown,1
density,1
c,1
r,1
w,1
ear,1
object,1
hz,1
reflection,1
source,1
air,1
travel,1
unit,1
produced,1
high,1
compressions,1
v,1
reflected,1
ultrasonic,1
also,1
thr,1
rarefactions,1
different,1
given,1
value,1
wavelength,1
pitch,1
may,1
range,1
energy,1
fr,1
back,1
travels,1
objects,1
pressure,1
two,1
frequencies,1
loudness,1
aid,1
tuning,1
fork,1
ound,1
thus,1
amplitude,1
q,1
l,1
get,1
electrical,1
metal,1
sounds,1
water,1
n,1
essur,1
due,1
propagation,1
direction,1
higher,1
reflecting,1
audible,1
ultrasounds,1
like,1
light,1
change,1
produce,1
take,1
cience,1
disturbance,1
moves,1
move,1
human,1
point,1
slinky,1
know,1
surface,1
maximum,1
taken,1
khz,1
echo,1
infrasound,1
signals,1
detect,1
etc,1
ou,1
near,1
table,1
ball,1
small,1
big,1
ough,1
observe,1
position,1
low,1
make,1
per,1
propagates,1
number,1
able,1
longitudinal,1
transverse,1
b,1
even,1
represented,1
period,1
solution,1
ms,1
person,1
intensity,1
hall,1
generally,1
amplified,1
parts,1
ar,1
mechanical,1
om,1
activity,1
end,1
happens,1
particle,1
oduced,1
variations,1
uestion,1
friend,1
regions,1
example,1
well,1
consecutive,1
complete,1
temperature,1
pipes,1
heard,1
reverberation,1
body,1
heart,1
block,1
various,1
ener,1
gy,1
ears,1
another,1
form,1
transmitted,1
rubber,1
friends,1
ead,1
gets,1
motion,1
oduce,1
hence,1
region,1
egion,1
compr,1
instrument,1
solid,1
average,1
hertz,1
later,1
si,1
equency,1
depends,1
minimum,1
oscillation,1
second,1
associated,1
louder,1
uestions,1
successive,1
quality,1
media,1
angles,1
clock,1
thunder,1
properties,1
must,1
cliff,1
medical,1
curved,1
halls,1
animals,1
bat,1
electronic,1
microphone,1
hello,0
hi,0
hey,0
greetings,0
goodbye,0
bye,0
thank you,0
thanks,0
please,0
morning,0
evening,0
night,0
how are you,0
what’s up,0
see you,0
take care,0
no problem,0
okay,0
cool,0
sure,0
alright,0
good,0
nice,0
awesome,0
great,0
fine,0
yes,0
no,0
maybe,0
alrighty,0
okay then,0
see ya,0
goodnight,0
good morning,0
hi there,0
what’s going on,0
good to see you,0
good day,0
peace,0
later,0
hello again,0
talk to you later,0
see you soon,0
catch you later,0
good afternoon,0
take it easy,0
how’s it going,0
how’s everything,0
what’s new,0
how do you do,0
how’s life,0
hope you’re well,0
thanks a lot,0
thanks so much,0
thanks for that,0
much appreciated,0
thank you so much,0
thank you very much,0
thanks a million,0
thanks anyway,0
no worries,0
don’t mention it,0
that’s alright,0
all good,0
I’m fine,0
I’m good,0
not bad,0
I’m okay,0
doing well,0
I’m great,0
I’m awesome,0
feeling good,0
so long,0
see you later,0
take care of yourself,0
see you around,0
catch you soon,0
have a good one,0
bye for now,0
have a nice day,0
have a great day,0
see you in a bit,0
stay safe,0
be well,0
be careful,0
enjoy your day,0
take care now,0
good to meet you,0
it’s been nice,0
good talking to you,0
it’s a pleasure,0
it’s been a pleasure,0
pleasure meeting you,0
hope to see you soon,0
we’ll catch up later,0
talk later,0
keep in touch,0
I’m out,0
it’s all good,0
I’m off,0
see you soon,0
let’s catch up,0
cheers,0
you too,0
have a good night,0
sweet dreams,0
until next time,0
see you next time,0
let’s talk soon,0
talk soon,0
take it easy,0
so far so good,0
everything’s good,0
all is well,0
I’m doing fine,0
glad to hear,0
I’m happy for you,0
that’s nice,0
sounds good,0
sounds great,0
sounds awesome,0
feels good,0
that’s cool,0
that’s awesome,0
that’s great,0
nice to hear,0
good stuff,0
looking good,0
feeling better,0
feeling fine,0
feeling great,0
I’m okay,0
that’s okay,0
it’s okay,0
no problem at all,0
sure thing,0
you’re welcome,0
my pleasure,0
happy to help,0
glad I could help,0
don’t worry,0
you bet,0
anytime,0
absolutely,0
no big deal,0
no issues,0
not a problem,0
yup,0
yeah,0
nah,0
nope,0
sure,0
yep,0
definitely,0
indeed,0
certainly,0
alright then,0
good call,0
good move,0
well done,0
great job,0
nice work,0
that’s fantastic,0
that’s wonderful,0
perfect,0
that’s perfect,0
excellent,0
brilliant,0
fantastic,0
amazing,0
lovely,0
spot on,0
you got it,0
you nailed it,0
bingo,0
bullseye,0
exactly,0
precisely,0
right on,0
no problem at all,0
you’re spot on,0
you’re right,0
that’s right,0
couldn’t agree more,0
